rowid,koi_fpflag_nt,koi_score,koi_period,koi_dikco_msky,koi_fpflag_co,koi_fpflag_ss,koi_num_transits,koi_count,koi_steff_err1,koi_fpflag_ec,koi_srho_err2,kepid,koi_fwm_sdeco,koi_depth,koi_dikco_mra_err,koi_fwm_stat_sig,koi_prad_err1,koi_dicco_msky,koi_smet_err2,koi_ror,koi_dikco_msky_err,koi_prad,koi_dor,classification,koi_pdisposition
8393,0,0.0,11.56797473,0.077,0,1,0.0,1,159.0,0,-0.00992,9665503,-0.11544,416030.0,0.067,0.15099363807728558,5.99,0.417,-0.3,0.645094,0.068,45.65,23.427,0,FALSE POSITIVE
8394,0,0.0,21.29473387,0.069,0,1,65.0,1,181.0,0,-0.0113,9673173,0.1129,123180.0,0.068,0.0,20.44,0.019,-0.3,0.51272,0.067,71.55,25.101,0,FALSE POSITIVE
8395,0,0.947,317.062416,0.74,0,0,5.0,1,160.0,0,-1.25413,9674320,0.79,442.9,0.86,0.065,0.27,0.63,-0.3,0.020361,0.84,1.59,249.9,1,CANDIDATE
8396,0,0.4808294015396076,13.4959496,1.8,0,0,84.0,1,174.0,0,-4.60032,9693803,-0.8,253.6,0.62,0.048,0.73,1.81,-0.3,0.014581,1.1,1.62,49.0,1,CANDIDATE
8397,0,0.0,0.855763492,0.11,0,1,1571.0,1,160.0,0,-0.01484,9711751,-0.09067,131660.0,0.068,0.0,23.56,0.008,-0.3,0.502932,0.068,72.82,2.431,0,FALSE POSITIVE
8398,0,0.0,2.045166206,0.278,0,1,525.0,1,256.0,0,-0.00182,10619109,0.17448,263640.0,0.068,0.0,32.37,0.417,-0.3,0.563641,0.068,131.41,3.4058,0,FALSE POSITIVE
8399,1,0.0,2.41349123,0.23,0,0,568.0,1,160.0,0,-0.00387,10646620,-1.14,57.0,0.4,0.0,0.34,0.11,-0.25,0.007435,0.27,2.11,1.413,0,FALSE POSITIVE
8400,0,0.0,0.447820618,11.026,1,0,1491.0,1,195.0,0,-6.20704,10649230,-63.59,58.3,0.07,0.0,0.41,10.96,-0.25,0.008071,0.072,1.42,7.82,0,FALSE POSITIVE
8401,0,0.582,43.2675604,1.6,0,0,33.0,1,77.0,0,-0.11485,10659624,2.5,69.1,1.1,0.001,0.25,1.46,-0.15,0.008532,1.0,1.61,23.4,1,CANDIDATE
8402,0,0.0,1.23133063,5.15,1,1,1094.0,1,113.0,1,-0.08187,10661913,0.89,78.9,0.5,0.0,0.03,6.76,-0.3,0.007778,0.51,0.54,2.627,0,FALSE POSITIVE
8403,1,0.0,0.61566096,0.8,1,0,1094.0,1,187.0,1,-0.18465,10661976,1.6,13.9,0.57,0.005,0.2,0.6,-0.3,0.003453,1.2,0.84,1.85,0,FALSE POSITIVE
8404,1,0.0,1.23140522,4.4,1,0,1092.0,1,166.0,1,-0.21916,10662021,1.5,51.3,0.95,0.164,0.23,4.3,-0.3,0.006601,1.0,0.81,2.68,0,FALSE POSITIVE
8405,0,0.378,11.3251153,1.5,0,0,116.0,1,186.0,0,-5.81906,10665228,-3.3,297.2,1.2,0.008,0.17,1.4,-0.3,0.015813,1.3,1.26,38.8,1,CANDIDATE
8406,0,0.0,31.9714488,2.47,0,0,43.0,1,140.0,1,-0.36136,8560927,5.3,42.9,0.72,0.0,0.18,2.71,-0.25,0.006036,0.77,0.87,27.1,0,FALSE POSITIVE
8407,0,0.0,9.762550001,0.136,0,1,274.0,1,201.0,0,-0.00406,11817750,-0.0836,41580.0,0.067,0.0,19.65,0.03,-0.35,0.323684,0.067,68.93,13.2,0,FALSE POSITIVE
8408,0,0.4808294015396076,16.9163386,0.6,0,0,78.0,1,169.0,0,-4.28405,11825996,1.5,64.2,0.9,0.017,0.31,0.5,-0.26,0.007691,1.1,0.68,40.2,1,CANDIDATE
8409,0,0.235,37.0200232,1.87,0,0,29.0,1,152.0,0,-98.30211,11854636,1.0,581.0,0.63,0.817,0.57,1.64,-0.3,0.022145,0.9,2.14,194.0,1,CANDIDATE
8410,0,0.0,2.521265,1.34,0,0,420.0,1,189.0,1,-0.55278,11855538,1.6,36.5,0.28,0.001,0.27,1.38,-0.25,0.005681,0.3,1.16,6.42,0,FALSE POSITIVE
8411,0,0.0,5.674353343,0.119,0,1,235.0,1,149.0,0,-0.01396,11858541,0.0067,36484.0,0.067,0.0,16.92,0.038,-0.25,0.441436,0.067,51.63,8.866,0,FALSE POSITIVE
8412,0,0.0,0.734426335,0.04,0,1,909.0,1,165.0,0,-0.05546,11873166,0.18919,99056.0,0.067,0.0,16.09,0.003,-0.35,0.472261,0.068,51.42,2.55,0,FALSE POSITIVE
8413,0,0.0,0.734426409,4.5,1,0,1820.0,1,155.0,1,-1.10739,11873171,-14.1,94.1,0.43,0.0,0.28,4.49,-0.35,0.008968,0.77,0.98,3.65,0,FALSE POSITIVE
8414,0,0.999,0.565713361,0.99,0,0,1878.0,1,157.0,0,-5.22398,11904704,0.0,86.4,0.37,0.03,0.12,0.86,-0.3,0.008445,0.38,0.81,4.49,1,CANDIDATE
